name,type,gu_name,dong_name,latitude,longitude
워시팡팡셀프빨래방 온수점,셀프빨래방,구로구,수궁동,37.492434,126.8197458
워시프레쉬셀프빨래방 신도림포스빌,셀프빨래방,구로구,구로5동,37.5055472,126.891336
코인워시24시빨래방,셀프빨래방,구로구,구로3동,37.4803881,126.8989291
워시프렌즈셀프빨래방 구로구고척점,셀프빨래방,구로구,고척1동,37.5031383,126.862561
워시코인24시 샐프빨래방,세탁소,구로구,고척2동,37.5075882,126.8539526
코인워시24셀프빨래방 목동고척점,셀프빨래방,구로구,고척2동,37.5075882,126.8539526
워시팡팡셀프빨래방 금천1호점,셀프빨래방,금천구,독산1동,37.4719602,126.8896414
워시프렌즈 셀프빨래방 금천 독산1동점,셀프빨래방,금천구,독산1동,37.472392,126.8946132
워시프렌즈 셀프빨래방 서울독산동점,셀프빨래방,금천구,독산1동,37.4528688,126.8901904
남문24시셀프빨래방,셀프빨래방,금천구,독산3동,37.4717184,126.9029146
워시팡팡셀프빨래방 독산3동점,셀프빨래방,금천구,독산3동,37.4763126,126.9033544
현대셀프크리닝,셀프빨래방,금천구,시흥1동,37.455304,126.9056584
행복셀프빨래방,셀프빨래방,금천구,시흥4동,37.4559061,126.9059194
워시피플셀프빨래방 금천독산4동점,셀프빨래방,금천구,독산4동,37.470311,126.9004106
셀프빨래방 가산푸르지오시티점,셀프빨래방,금천구,가산동,37.4753002,126.8908539
24시쎌프빨래방,셀프빨래방,금천구,독산3동,37.4769876,126.9083588
워시엔조이 셀프빨래방 독산2호점,셀프빨래방,금천구,독산1동,37.4685577,126.8922437
워시프렌즈셀프빨래방 금천가산미소지움점,셀프빨래방,금천구,가산동,37.4762916,126.8787002
미소지움셀프빨래방,셀프빨래방,금천구,가산동,37.4762916,126.8787002
위시팡팡셀프빨래방,셀프빨래방,노원구,공릉2동,37.6246193,127.0789422
워시쿱 서울과기대점,셀프빨래방,노원구,하계1동,37.6356688,127.0744147
크린토피아 코인워시365 서울과기대점,셀프빨래방,노원구,하계1동,37.635655,127.0728696
워시스토리 서울노원점,셀프빨래방,노원구,상계2동,37.653283,127.0709421
워시피플셀프빨래방 노원중계동점,셀프빨래방,노원구,중계1동,37.6537579,127.0732234
워시쿱 서울공릉동점,셀프빨래방,노원구,공릉1동,37.6193093,127.0732571
워시프렌즈 셀프빨래방 공릉과기대점,셀프빨래방,노원구,공릉1동,37.6290382,127.0734406
코인24시빨래방 당고개역점,셀프빨래방,노원구,상계3.4동,37.6703059,127.0785559
워시프렌즈 서울상계2동점,셀프빨래방,노원구,상계2동,37.6569377,127.0696338
월드크린셀프크리닝 상계점,셀프빨래방,노원구,상계2동,37.6594432,127.0615323
코인워시24셀프빨래방 중계상계점,셀프빨래방,노원구,상계2동,37.6592553,127.0675206
워시프렌즈셀프빨래방 노원월계2동점,셀프빨래방,노원구,월계2동,37.6325606,127.0517479
크린업24 상계점,셀프빨래방,노원구,상계5동,37.6637089,127.0738729
워시엔조이 상계역점,셀프빨래방,노원구,상계5동,37.6634178,127.0729613
더런드리셀프빨래방 노원상계점,셀프빨래방,노원구,상계5동,37.6619478,127.0668693
워시엔조이 셀프빨래방 상계동점,셀프빨래방,노원구,상계2동,37.661327,127.0663816
더런드리 쌍문점,셀프빨래방,도봉구,쌍문3동,37.6510471,127.0341196
빨래방위드디,셀프빨래방,도봉구,창3동,37.6413781,127.0409952
워시엔조이 셀프빨래방 신도봉점,셀프빨래방,도봉구,도봉1동,37.670489,127.0424797
셀프빨래방 창동점,셀프빨래방,도봉구,창2동,37.6440613,127.0376339
워시프랜즈셀프빨래방 도봉구창동점,세탁소,도봉구,창2동,37.644952,127.0342309
버블맨24 샐프빨래방 쌍문3호점,셀프빨래방,도봉구,쌍문3동,37.6487613,127.0308901
더런드리 셀프빨래방 창동점,셀프빨래방,도봉구,창5동,37.6572113,127.041798
워시엔조이 셀프빨래방 도봉창동점,셀프빨래방,도봉구,창5동,37.6561229,127.0426065
워시프렌즈 셀프빨래방 도봉구 방학동점,셀프빨래방,도봉구,방학1동,37.669094,127.0447525
워시24시 셀프빨래방,셀프빨래방,도봉구,도봉2동,37.6828886,127.0475086
프리머스셀프빨래방,셀프빨래방,도봉구,창3동,37.6361277,127.0398381
버블맨24셀프빨래방 창동점,셀프빨래방,도봉구,창1동,37.6510272,127.0413835
코인워시24빨래터,셀프빨래방,동대문구,회기동,37.5920533,127.0545461
런드리24 제기점,셀프빨래방,동대문구,제기동,37.5849944,127.038228
크린토피아 코인워시 답십리점,셀프빨래방,동대문구,답십리1동,37.572855,127.0524012
크린토피아 코인워시 장안시장점,셀프빨래방,동대문구,장안1동,37.5684929,127.0652065
워시타임 서울장안동점,셀프빨래방,동대문구,장안1동,37.5693186,127.0655821
셀프빨래방24시 장안점,셀프빨래방,동대문구,장안2동,37.569573,127.0731675
런드리익스프레스샵 서울시립대점,셀프빨래방,동대문구,휘경2동,37.5871071,127.0602997
워시피플 동대문휘경동점,셀프빨래방,동대문구,휘경1동,37.5907851,127.0625522
코인워시24 휘경점,셀프빨래방,동대문구,휘경1동,37.5905011,127.0607127
워시팡팡 휘경점,셀프빨래방,동대문구,휘경2동,37.5876544,127.0563864
워시엔조이 용두점,셀프빨래방,동대문구,용신동,37.5763779,127.0335233
위니아24크린샵 서울장안점,셀프빨래방,동대문구,장안2동,37.580028,127.0701654
아쿠아워시셀프빨래방 서울전농동점,셀프빨래방,동대문구,전농1동,37.5819805,127.0520067
워시엔조이 전농점,셀프빨래방,동대문구,전농1동,37.5808029,127.0518833
코인워시24빨래방 고려대점,셀프빨래방,동대문구,제기동,37.5851248,127.0319419
런드리익스프레스샵 고대정문점,셀프빨래방,동대문구,제기동,37.5885142,127.0357178
화이트365 제기동점,셀프빨래방,동대문구,용신동,37.5771555,127.0332807
크린업24 제기동점,셀프빨래방,동대문구,제기동,37.5826703,127.0348095
크린토피아 코인워시365 이문대림점,셀프빨래방,동대문구,이문2동,37.6044037,127.062614
아쿠아워시 장안동점,셀프빨래방,동대문구,장안1동,37.571438,127.0701279
에코런드렛셀프빨래방 장안점,셀프빨래방,동대문구,장안1동,37.5685136,127.0688024
워시팡팡무인셀프빨래방 동대문장안,세탁소,동대문구,장안1동,37.5641178,127.0712954
셀빨래방 장안장평점,셀프빨래방,동대문구,장안1동,37.5675083,127.0712187
워시엔조이 장안점,셀프빨래방,동대문구,장안2동,37.5678615,127.0723007
우리셀프빨래방협동조합 장안점,셀프빨래방,동대문구,장안1동,37.5692035,127.0686966
크린업24 장안점,셀프빨래방,동대문구,장안1동,37.5699615,127.0694712
워시팡팡셀프빨래방 장안2호점,셀프빨래방,동대문구,장안2동,37.5737869,127.0724966
화이트365 장안점,셀프빨래방,동대문구,장안1동,37.5640849,127.067874
호박무인빨래방,셀프빨래방,동대문구,전농1동,37.5757813,127.0571608
위워시 회기역점,셀프빨래방,동대문구,휘경2동,37.5872251,127.0555009
워시프렌즈 셀프빨래방 청량리점,셀프빨래방,동대문구,청량리동,37.5854487,127.0504364
런드리업 셀프빨래방 제기점,셀프빨래방,동대문구,제기동,37.5854089,127.0343173
버블워시빨래방,셀프빨래방,동대문구,이문1동,37.5987037,127.057933
버블워시24 외대점,셀프빨래방,동대문구,이문1동,37.5987037,127.057933
런드리익스프레스샵 이문점,셀프빨래방,동대문구,이문1동,37.5984005,127.0559278
크린토피아 코인워시 이문2동점,셀프빨래방,동대문구,이문1동,37.5983547,127.0555825
크린라이프 답십리점,셀프빨래방,동대문구,답십리1동,37.5698022,127.0494665
더런드리 답십리점,셀프빨래방,동대문구,답십리1동,37.5694964,127.0498995
뽀송빨래터,셀프빨래방,동대문구,용신동,37.5756044,127.0414094
워시빌리지 답십리점,셀프빨래방,동대문구,답십리1동,37.5704338,127.0518314
워시엔조이 장한평점,셀프빨래방,동대문구,장안1동,37.5638565,127.063113
워시엔조이 청계리버리치점,셀프빨래방,동대문구,용신동,37.5702681,127.0307088
크린토피아 코인워시 동대문용두캐슬리치점,셀프빨래방,동대문구,용신동,37.5784517,127.0306241
런드리존 장안센트럴점,셀프빨래방,동대문구,장안2동,37.5738784,127.0671453
24시셀프빨래방 이문점,셀프빨래방,동대문구,이문1동,37.5989582,127.0674935
워시프렌즈셀프빨래방 동대문장한평점,셀프빨래방,동대문구,장안1동,37.5688814,127.0683157
크린토피아 코인워시365 동대문전농배봉초교점,셀프빨래방,동대문구,전농2동,37.5782251,127.0667016
크린앤화이트24시코인셀프빨래방,셀프빨래방,동대문구,장안2동,37.5775692,127.0688885
24시맑은셀프빨래방,셀프빨래방,동대문구,장안2동,37.5775692,127.0688885
워시쿱 장안직영점,셀프빨래방,동대문구,장안1동,37.5633072,127.0612041
에코런드렛셀프빨래방 답십리점,셀프빨래방,동대문구,답십리2동,37.5651861,127.0562375
화이트365 경희대점,셀프빨래방,동대문구,회기동,37.5912672,127.0512791
버블맨24 회기동점,셀프빨래방,동대문구,회기동,37.5908707,127.0542732
셀프빨래방24시,세탁소,동대문구,이문1동,37.5935965,127.0577732
스피드24클리닝,셀프빨래방,동대문구,이문1동,37.5935965,127.0577732
화이트365 휘경점,셀프빨래방,동대문구,휘경1동,37.5906666,127.0579035
런드리익스프레스샵 회기점,셀프빨래방,동대문구,휘경1동,37.5909396,127.0568589
셀프빨래방(사당역점),"가정,생활",동작구,사당1동,37.476408,126.9738885
24시셀프빨래방플러스 노량진점,셀프빨래방,동작구,노량진1동,37.5127569,126.9417006
블링블링24시셀프빨래방,셀프빨래방,동작구,노량진2동,37.5121656,126.937662
합격빨래방워시앤프리 노량진점,셀프빨래방,동작구,노량진1동,37.5124134,126.943281
AMPM워시큐 본동점,셀프빨래방,동작구,노량진1동,37.5110308,126.9549284
화이트빨래방 대방점,셀프빨래방,동작구,대방동,37.5009737,126.9273747
셀피아셀프빨래방 사당점,셀프빨래방,동작구,사당1동,37.4813289,126.9757644
워시피플 셀프빨래방 사당이수점,셀프빨래방,동작구,사당2동,37.4901693,126.9812861
24시간코인세탁소,셀프빨래방,동작구,노량진2동,37.5124006,126.9355117
런드리익스프레스샵 노량진점,셀프빨래방,동작구,노량진1동,37.5121384,126.9461939
에코클린 24 셀프빨래방,셀프빨래방,동작구,노량진1동,37.5124643,126.9474133
더런드리 노량진점,셀프빨래방,동작구,노량진1동,37.5103043,126.9468658
워시피플 동작구보라매점,셀프빨래방,동작구,신대방2동,37.4952832,126.9266895
에코런드렛 빨래방&amp;아이스크림 사당점,셀프빨래방,동작구,사당4동,37.4809986,126.9709315
참빨래셀프빨래방 사당점,셀프빨래방,동작구,사당1동,37.4793484,126.9745223
버블맨24시셀프빨래방 사당점,셀프빨래방,동작구,사당4동,37.4806336,126.9721983
워시프렌즈셀프빨래방 서울사당점,셀프빨래방,동작구,사당1동,37.4807786,126.9781901
빨리셀프크리닝,셀프빨래방,동작구,상도1동,37.4927842,126.9562369
삼성24시셀프빨래방 장승배기점,셀프빨래방,동작구,상도2동,37.5045536,126.9363648
삼성24시셀프빨래방 2호점,셀프빨래방,동작구,상도2동,37.503753,126.9454581
워시엔조이 상도역점,셀프빨래방,동작구,상도1동,37.5023027,126.9512141
24시셀프빨래방플러스 흑석점,셀프빨래방,동작구,흑석동,37.5066266,126.9621838
워시프렌즈 셀프빨래방 상도동점,셀프빨래방,동작구,상도4동,37.4973217,126.9351867
