name,gu_name,dong_name,latitude,longitude
가산기대찬의원,금천구,가산동,37.4803938036867,126.8841224970078
365엠씨의원,강남구,논현1동,37.5166041956,127.0218085089
(사)한국한센복지협회서울특별시지부부설의원,동작구,상도2동,37.504076356913,126.938038223788
(의)가산의료재단광동병원,강남구,삼성1동,37.5142810376461,127.062146778337
가로수치과의원,관악구,서원동,37.48191798611885,126.9293767300304
(의)가산의료재단광동한방병원,강남구,삼성1동,37.5142810376461,127.062146778337
(재)한국산업의학연구소부설나노메디의원,금천구,독산1동,37.471161927624,126.897740718324
가좌경희한의원,서대문구,북가좌1동,37.5708141022,126.9127073134
(의)미래의료재단리드림의원,강남구,삼성1동,37.5080031582356,127.058887185824
000의원,서초구,반포1동,37.5076445712488,127.022491634375
10월10일한의원,서초구,양재1동,37.4763877807578,127.040001794114
365경희제일한의원,강동구,성내3동,37.5267222236995,127.135361421877
(의)성광의료재단차움건진의원,강남구,삼성1동,37.5077804973225,127.05820568843
365반반한의원,서대문구,충현동,37.5660946603738,126.965334142218
21세기한의원,중구,회현동,37.5609891377777,126.980011086024
97.7비엔에치의원,용산구,한남동,37.53218945103117,127.01081601251772
(의)열린의료재단영등포열린의원,영등포구,영등포동,37.5165301858178,126.90604309721
10년전당신의오늘의원,강남구,청담동,37.5236304940728,127.045733608353
365열린치과의원,영등포구,신길3동,37.507058335897,126.910748289958
강북권의료복지사회적협동조합명성의원,도봉구,도봉1동,37.6723293932498,127.043686692857
가양베스트한의원,강서구,등촌3동,37.56086385048082,126.8545572403663
S앤비한의원,송파구,송파1동,37.5040597913,127.1138783477
경희한의원,강북구,송천동,37.6131435556689,127.02945322795
가우디치과병원,강남구,대치2동,37.5078254575,127.0610611946
24시열린의원,양천구,목1동,37.5274862615567,126.871566699077
(의)열린의료재단예인의원,강서구,가양1동,37.5672306850318,126.842911175186
365아산원탑마취통증의학과재활의학과의원,광진구,구의3동,37.540609659197,127.096047927433
21성형외과의원,서초구,서초4동,37.5017358451233,127.025278490231
가산의원,금천구,가산동,37.4819121882,126.8815830343
365MC의원,노원구,상계6·7동,37.6530537904638,127.061324512782
경희부부한의원,강동구,길동,37.5376937056369,127.140227539906
365공릉차한의원,노원구,공릉1동,37.6279664534118,127.072245353338
365필요한의원,중랑구,상봉2동,37.5933277359226,127.074871189969
강남유닉플란트치과의원,강남구,회현동,37.56083625181834,126.97904783905594
365다시재한방병원,송파구,위례동,37.4866427532962,127.142262855079
강남청아한의원,강남구,대치1동,37.493928353682165,127.06104083245444
365더튼튼의원,구로구,오류1동,37.4956274938619,126.842328273392
1밀리미터성형외과의원,강남구,역삼1동,37.5023891093389,127.02594810924924
365매일한방병원,동대문구,용신동,37.5753483891625,127.024344406042
강남그랜드치과의원,서초구,서초4동,37.5037879786,127.0235193056
가족사랑의원,양천구,목2동,37.5396690796033,126.869051879039
공안과병원,강동구,성내2동,37.5339148820044,127.126027072458
골든라인의원,강남구,압구정동,37.5269934647885,127.029718326693
365메트로의원,강남구,논현1동,37.5111988300765,127.021657861669
365청추나한의원,은평구,응암1동,37.6010893852841,126.926662375326
(의)열린의료재단오경식의원,구로구,구로5동,37.4977293058869,126.891852633222
강남하이텍의원,송파구,문정2동,37.4796683841344,127.124913859704
경희삼성한의원,관악구,삼성동,37.4724775165,126.9329986313
CBK최영균치과의원,노원구,공릉1동,37.6219534132134,127.075326139356
고려MS영상의학과의원,구로구,구로5동,37.495860314768,126.888807280468
고려M영상의학과의원,동대문구,용신동,37.5750052699082,127.023557307449
경희동서한의원,강동구,천호2동,37.5416472221,127.1301343938
2080치과의원,송파구,석촌동,37.50533055555556,127.10604999999998
호산소아청소년과의원,영등포구,여의동,37.5225616247,126.9312027152
CNP차앤박피부과의원,영등포구,여의동,37.5227019151559,126.924993896764
강남준성형외과의원,서초구,반포1동,37.5106505,127.0210421821
365문정사랑의원,송파구,문정1동,37.4869810920009,127.127244307271
광혜병원,강남구,대치2동,37.508136490079,127.064771981255
강서온정한의원,강서구,방화1동,37.5736504764,126.8110813709
GSR(지에스알)재활의학과의원,서초구,서초4동,37.4983516923932,127.026394763383
감동비뇨의학과의원,서초구,잠원동,37.5144406772564,127.019386390307
강남리유한의원,서초구,서초4동,37.5003097069231,127.025815300449
강산한의원,강서구,화곡3동,37.5478505458038,126.835388575202
강우곤치과의원,종로구,종로1·2·3·4가동,37.573960183476096,126.98707723178786
365본맥한의원,성북구,정릉4동,37.6091103235132,127.009548383853
365삼성의원,강남구,역삼2동,37.4964928018315,127.052199273657
강일코모키이비인후과의원,강동구,강일동,37.56562239138539,127.1738171036809
365서울원탑치과의원,강서구,화곡본동,37.541395697,126.8410394342
가나이비인후과의원,서초구,반포1동,37.5021563648911,127.012024373585
고려엔케이연합의원,강서구,등촌1동,37.5584699599397,126.854819012937
가톨릭정형외과의원,은평구,응암1동,37.5986991732052,126.921384169108
강남서연성형외과의원,강남구,신사동,37.5177585594391,127.020819754874
감초한의원,구로구,구로1동,37.49564300327747,126.87409335737765
경희예가한의원,강남구,역삼1동,37.5051902735793,127.045747691089
365소리안한의원,강남구,논현2동,37.5171405161205,127.040183821914
365송파한의원,송파구,오금동,37.5073970930133,127.13319570273
고척으뜸내과의원,구로구,고척1동,37.4990691887707,126.857532971967
게이트성형외과의원,강남구,논현1동,37.50490856937278,127.02479086770352
365쌩쌩한의원,송파구,송파2동,37.507019941349,127.116477135427
경희제일한의원,강동구,천호3동,37.53803417620658,127.134984382011
경희이끌림한의원,송파구,송파1동,37.50373644729999,127.1089785725
