"시설명",박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
"한국전력공사",사립,서울특별시 서초구 효령로 72길 60,서울특별시 서초구 서초동 1355,37.4856225,127.0280788,02-2105-8190,한국전력공사,https://home.kepco.co.kr/kepco/PR/F/htmlView/PRFAHP001.do?menuCd=FN0605,,10:00,18:00,10:00,18:00,월+1월 1일+설 연휴+추석 연휴,0,0,0,,,,02-2105-8192,한국전력공사,2023-07-05
"대한불교 천태종 관문사",사립,서울특별시 서초구 바우뫼로7길111,서울특별시 서초구 우면동 56,37.47375033,127.0222823,02-3460-5300,대한불교 천태종 관문사,www.gwanmunsa.org,,10:00,18:00,10:00,18:00,월(월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관,0,0,0,,,,02-3460-5300,대한불교 천태종 관문사,2023-07-05
"매헌윤봉길의사기념관",사립,서울특별시 서초구 매헌로 99,서울특별시 서초구 양재동 236,37.4730498,127.0369771,02-578-3388,매헌윤봉길의사기념사업회,http://www.yunbonggil.or.kr/_memorial_hall/,,10:00,17:00,10:00,17:00,월+법정공휴일,0,0,0,,,,02-578-3388,매헌윤봉길의사기념사업회,2023-07-05
"유리지공예관",사립,서울특별시 서초구 중앙로 555,서울특별시 서초구 우면동 610-11,37.45775784,127.0123542,02-578-6663,유리지공예관,yoolizzycraftmuseum.org,,11:00,17:00,11:00,17:00,월+법정공휴일,0,0,0,,,,02-578-6663,유리지공예관,2023-07-05
"(재)한원미술관",사립,서울특별시 서초구 남부순환로 2423,서울특별시 서초구 서초동 1449-6,37.48178113,127.0154357,02-588-5642,(재)한원미술관,www.hanwon.org,,10:00,18:00,10:00,18:00,월+일+법정공휴일,0,0,0,,,,02-588-5642,(재)한원미술관,2023-07-05
"예술의전당 서울서예박물관",사립,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,02-580-1606,예술의전당,http://www.sac.or.kr,오디오가이드 등 전시별 상이,11:00,20:00,11:00,20:00,월,0,0,0,관람 무료[만 7세 미만+장애인+국가유공자+후원회원 등],,,02-580-1656,예술의전당,2023-07-05
"예술의전당 한가람디자인미술관",사립,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,02-580-1606,예술의전당,www.sac.or.kr,오디오가이드 등 전시별 상이,11:00,19:00,11:00,19:00,마지막주 월,0,0,0,무료입장(만 36개월 미만)+전시별 상이,,,02-580-1606,예술의전당,2023-07-05
"예술의전당 한가람미술관",사립,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,02-580-1652,예술의전당,www.sac.or.kr,오디오가이드 등 전시별 상이,11:00,19:00,11:00,19:00,마지막주 월,0,0,0,무료입장(만 36개월 미만)+전시별 상이,,,02-580-1609,예술의전당,2023-07-05
