시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
호림박물관,사립,서울특별시 관악구 남부순환로152길 53,서울특별시 관악구 신림동 1707,37.4808823,126.9182364,02-858-2500,성보문화재단,http://www.horimmuseum.org,,10:00,17:00,00:00,00:00,토+일+월+법정공휴일+근로자의 날,4000,2000,2000,장애인 무료,,,02-879-5602,서울특별시 관악구청,2024-10-01
서울대학교 박물관,대학,서울특별시 관악구 관악로 1,서울특별시 관악구 신림동 산 56-1,37.46803806,126.9592943,02-880-5333,서울대학교,http://museum.snu.ac.kr,,10:00,17:00,00:00,00:00,월+일+법정공휴일+개교기념일(10월15일),0,0,0,,,,02-879-5602,서울특별시 관악구청,2024-10-01
서울시립 남서울미술관,공립,서울특별시 관악구 남부순환로 2076,서울특별시 관악구 남현동 1059-13,37.47605354,126.9794659,02-598-6247,서울특별시청,http://sema.seoul.go.kr/kr/visit/namseoul,,10:00,20:00,10:00,18:00,월+1월1일,0,0,0,,,,02-879-5602,서울특별시 관악구청,2024-10-01
서울대학교 미술관,대학,서울특별시 관악구 관악로 1,서울특별시 관악구 신림동 산 56-1,37.46803806,126.9592943,02-880-9504,서울대학교,http://www.snumoa.org,,10:00,18:00,00:00,00:00,월+법정공휴일+개교기념일(10월15일)+전시준비기간,0,0,0,,,,02-879-5602,서울특별시 관악구청,2024-10-01
갤러리관악,공립,서울특별시 관악구 관악로 145,,37.47825697,126.951506,02-879-5605,서울특별시 관악구청,,,10:00,18:00,00:00,00:00,토+일+법정공휴일,0,0,0,,,,02-879-5605,서울특별시 관악구청,2024-10-01
