시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
삼육대학교 박물관,대학,서울특별시 노원구 화랑로 815,서울특별시 노원구 공릉동 26-21,37.64335827,127.1088514,02-3399-3636,삼육대학교,https://www.syu.ac.kr/museum/,,10:00,16:00,00:00,00:00,토+일+개교기념일+공휴일+전시준비기간,0,0,0,0,"삼육대학교박물관은 다양한 성경고고학 유물 및 성경 사본, 역본과 일반역사자료 전시를 통해 선조들의 삶을 보고 느낄 수 있는 공간이 되고자 합니다.",,02-3399-3065,삼육대학교,2024-07-22
서울여자대학교 박물관,대학,서울특별시 노원구 화랑로 621,서울특별시 노원구 공릉동 126,37.62878257,127.0889917,02-970-5311,서울여자대학교,http://museum.swu.ac.kr/,,10:00,16:00,00:00,00:00,토+일+개교기념일+공휴일+전시준비기간,0,0,0,0,,,02-970-5311,서울여자대학교,2024-07-22
서울과학기술대학교 미술관,대학,서울특별시 노원구 공릉로 232 서울과학기술대학교 다빈치관 216호 미술관,서울특별시 노원구 중계동 508,37.6395138570,127.0678212630,02-970-6215,서울과학기술대학교,http://art.seoultech.ac.kr/,,09:00,18:00,00:00,00:00,토+일+개교기념일+공휴일+전시준비기간,0,0,0,0,현대미술을 전시하여 학내구성원 및 지역주민들에게 문화향유의 기회를 제공하는  예술공간입니다.,,02-970-6215,서울과학기술대학교,2024-07-22
