ADM_CD,버스 정류장 수,지하철역 수,총 대중교통 수
11180600,24,0.0,24.0
11180610,35,0.0,35.0
11190540,63,6.0,69.0
11190550,21,2.0,23.0
11190560,45,2.0,47.0
11190610,22,1.0,23.0
11190620,31,1.0,32.0
11190630,20,1.0,21.0
11190650,24,0.0,24.0
11190660,12,0.0,12.0
11190670,21,0.0,21.0
11190680,23,2.0,25.0
11190690,31,3.0,34.0
11190700,16,0.0,16.0
11190710,12,1.0,13.0
11190720,35,0.0,35.0
11190730,19,1.0,20.0
11190740,47,2.0,49.0
11190750,22,0.0,22.0
11190760,42,1.0,43.0
11200520,12,0.0,12.0
11200530,44,2.0,46.0
11200540,36,1.0,37.0
11200550,33,0.0,33.0
11200560,32,0.0,32.0
11200630,12,3.0,15.0
11200650,27,0.0,27.0
11200660,4,1.0,5.0
11200670,24,0.0,24.0
11200680,54,2.0,56.0
11200690,14,0.0,14.0
11200700,28,2.0,30.0
11200710,48,1.0,49.0
11200720,52,3.0,55.0
11200730,30,3.0,33.0
11210520,25,1.0,26.0
11210540,8,0.0,8.0
11210570,15,0.0,15.0
11210580,35,0.0,35.0
11210610,12,0.0,12.0
11210620,23,1.0,24.0
11210630,9,0.0,9.0
11210640,21,2.0,23.0
11210650,10,0.0,10.0
11210660,23,1.0,24.0
11210680,18,1.0,19.0
11210690,17,1.0,18.0
11210710,15,0.0,15.0
11210720,26,0.0,26.0
11210730,52,1.0,53.0
11210780,40,0.0,40.0
11210790,29,0.0,29.0
11210800,16,2.0,18.0
11210810,22,0.0,22.0
11210820,30,0.0,30.0
11210830,36,0.0,36.0
11220510,35,1.0,36.0
11220520,45,2.0,47.0
11220530,73,3.0,76.0
11220540,42,0.0,42.0
11220550,23,1.0,24.0
11220560,3,1.0,4.0
11220570,20,2.0,22.0
11220580,19,1.0,20.0
11220590,15,0.0,15.0
11220600,32,3.0,35.0
11220610,21,0.0,21.0
11220620,22,1.0,23.0
11220630,35,1.0,36.0
11220640,43,1.0,44.0
11220650,29,0.0,29.0
11220660,73,1.0,74.0
11220670,54,1.0,55.0
11220680,63,1.0,64.0
11230510,14,0.0,14.0
11230511,14,1.0,15.0
11230520,18,4.0,22.0
11230530,26,4.0,30.0
11230580,30,2.0,32.0
11230590,21,2.0,23.0
11230600,18,1.0,19.0
11230630,14,0.0,14.0
11230640,47,7.0,54.0
11230650,26,0.0,26.0
11230660,23,1.0,24.0
11230670,18,2.0,20.0
11230680,15,0.0,15.0
11230710,27,0.0,27.0
11230720,27,1.0,28.0
11230730,15,0.0,15.0
11230750,18,3.0,21.0
11230760,66,0.0,66.0
11230770,23,2.0,25.0
11230780,26,0.0,26.0
11230790,30,4.0,34.0
11230800,34,3.0,37.0
11240510,8,1.0,9.0
11240520,25,0.0,25.0
11240530,8,1.0,9.0
11240540,9,0.0,9.0
11240550,13,1.0,14.0
11240560,15,0.0,15.0
11240570,12,1.0,13.0
11240580,13,1.0,14.0
11240590,24,3.0,27.0
11240600,38,1.0,39.0
11240610,14,0.0,14.0
11240620,12,0.0,12.0
11240630,19,3.0,22.0
11240640,14,0.0,14.0
11240650,25,1.0,26.0
11240660,14,3.0,17.0
11240670,22,2.0,24.0
11240680,17,0.0,17.0
11240690,32,3.0,35.0
11240710,13,1.0,14.0
11240750,9,2.0,11.0
11240770,15,2.0,17.0
11240780,4,2.0,6.0
11240790,7,1.0,8.0
11240800,26,0.0,26.0
11240810,43,1.0,44.0
11240820,58,0.0,58.0
11250530,24,1.0,25.0
11250540,13,1.0,14.0
11250550,26,0.0,26.0
11250560,23,0.0,23.0
11250580,6,1.0,7.0
11250590,17,1.0,18.0
11250610,19,1.0,20.0
11250630,12,0.0,12.0
11250650,21,1.0,22.0
11250660,18,2.0,20.0
11250670,15,0.0,15.0
11250700,9,2.0,11.0
11250710,29,1.0,30.0
11250720,13,0.0,13.0
11250730,25,0.0,25.0
11250740,37,1.0,38.0
11250750,48,1.0,49.0
11250760,40,1.0,41.0
11250770,18,0.0,18.0
