name,lat,lng
서울특별시 광진구 군자동,37.553066,127.073681
서울특별시 광진구 중곡1동,37.562037,127.077722
서울특별시 광진구 중곡2동,37.558909,127.084587
서울특별시 광진구 중곡3동,37.567851,127.08197
서울특별시 광진구 중곡4동,37.563912,127.094448
서울특별시 광진구 능동,37.550657,127.081645
서울특별시 광진구 구의1동,37.54149,127.086032
서울특별시 광진구 구의2동,37.551002,127.09445
서울특별시 광진구 구의3동,37.535092,127.095236
서울특별시 광진구 광장동,37.548283,127.104873
서울특별시 광진구 자양1동,37.535543,127.080415
서울특별시 광진구 자양2동,37.529335,127.083254
서울특별시 광진구 자양3동,37.53169,127.071198
서울특별시 광진구 자양4동,37.533892,127.063766
서울특별시 동대문구 회기동,37.593701,127.051407
서울특별시 동대문구 휘경1동,37.591873,127.062475
서울특별시 동대문구 휘경2동,37.586506,127.066436
서울특별시 동대문구 청량리동,37.588941,127.045119
서울특별시 동대문구 용신동,37.575616,127.032286
서울특별시 동대문구 제기동,37.583677,127.037242
서울특별시 동대문구 전농1동,37.579012,127.051048
서울특별시 동대문구 전농2동,37.580721,127.061144
서울특별시 동대문구 답십리2동,37.570892,127.061114
서울특별시 동대문구 장안1동,37.566231,127.06859
서울특별시 동대문구 장안2동,37.57576,127.072538
서울특별시 동대문구 이문1동,37.597222,127.060293
서울특별시 동대문구 이문2동,37.602833,127.067492
서울특별시 동대문구 답십리1동,37.570944,127.051699
서울특별시 중랑구 면목2동,37.589378,127.078144
서울특별시 중랑구 면목4동,37.573477,127.086475
서울특별시 중랑구 면목5동,37.582972,127.079666
서울특별시 중랑구 면목7동,37.577295,127.092691
서울특별시 중랑구 상봉1동,37.602025,127.089468
서울특별시 중랑구 상봉2동,37.594245,127.083898
서울특별시 중랑구 중화1동,37.602287,127.083149
서울특별시 중랑구 중화2동,37.598723,127.075208
서울특별시 중랑구 묵1동,37.613736,127.08245
서울특별시 중랑구 묵2동,37.610372,127.074666
서울특별시 중랑구 망우3동,37.591808,127.102939
서울특별시 중랑구 신내1동,37.612802,127.104507
서울특별시 중랑구 신내2동,37.610951,127.091616
서울특별시 중랑구 면목본동,37.588341,127.089531
서울특별시 중랑구 면목3·8동,37.584597,127.097381
서울특별시 중랑구 망우본동,37.601987,127.107536
서울특별시 성북구 돈암1동,37.599327,127.024042
서울특별시 성북구 돈암2동,37.597275,127.011629
서울특별시 성북구 안암동,37.587252,127.027309
서울특별시 성북구 보문동,37.582603,127.019219
서울특별시 성북구 정릉1동,37.603262,127.016653
서울특별시 성북구 정릉2동,37.603794,127.008118
서울특별시 성북구 정릉3동,37.612263,126.993765
서울특별시 성북구 정릉4동,37.623511,126.99518
서울특별시 성북구 길음1동,37.608112,127.019735
서울특별시 성북구 길음2동,37.607971,127.027231
서울특별시 성북구 월곡1동,37.607878,127.036448
서울특별시 성북구 월곡2동,37.6033,127.045193
서울특별시 성북구 장위1동,37.614944,127.044265
서울특별시 성북구 장위2동,37.612224,127.051727
서울특별시 성북구 장위3동,37.618178,127.053494
서울특별시 성북구 성북동,37.595868,126.99615
서울특별시 성북구 삼선동,37.586619,127.011796
서울특별시 성북구 동선동,37.593735,127.018426
서울특별시 성북구 종암동,37.59725,127.033374
서울특별시 성북구 석관동,37.60826,127.061336
서울특별시 강북구 번1동,37.637626,127.030545
서울특별시 강북구 번2동,37.629515,127.034795
서울특별시 강북구 번3동,37.623782,127.042336
서울특별시 강북구 수유1동,37.629927,127.008839
서울특별시 강북구 수유2동,37.645402,127.019504
서울특별시 강북구 수유3동,37.640455,127.023546
서울특별시 강북구 삼양동,37.623793,127.014684
서울특별시 강북구 미아동,37.6287,127.026293
서울특별시 강북구 송중동,37.617705,127.032922
서울특별시 강북구 송천동,37.618222,127.024871
서울특별시 강북구 삼각산동,37.617127,127.016831
서울특별시 강북구 우이동,37.660353,127.000323
서울특별시 강북구 인수동,37.637641,127.003963
서울특별시 도봉구 쌍문1동,37.653025,127.019512
서울특별시 도봉구 쌍문2동,37.657062,127.037002
서울특별시 도봉구 쌍문3동,37.647687,127.030586
서울특별시 도봉구 쌍문4동,37.655551,127.030408
서울특별시 도봉구 방학1동,37.665033,127.043517
서울특별시 도봉구 방학2동,37.669145,127.03226
서울특별시 도봉구 방학3동,37.662796,127.02347
서울특별시 도봉구 창1동,37.647135,127.043564
서울특별시 도봉구 창2동,37.642626,127.036825
서울특별시 도봉구 창3동,37.63736,127.041627
서울특별시 도봉구 창4동,37.652578,127.050926
서울특별시 도봉구 창5동,37.65536,127.042766
서울특별시 도봉구 도봉1동,37.685084,127.026794
서울특별시 도봉구 도봉2동,37.681188,127.047792
서울특별시 노원구 월계1동,37.621805,127.058604
서울특별시 노원구 월계2동,37.634075,127.051207
서울특별시 노원구 월계3동,37.624655,127.064892
서울특별시 노원구 공릉2동,37.631614,127.094228
서울특별시 노원구 하계1동,37.638618,127.074809
서울특별시 노원구 하계2동,37.634839,127.064823
서울특별시 노원구 중계본동,37.648136,127.085761
서울특별시 노원구 중계1동,37.650017,127.073501
서울특별시 노원구 중계4동,37.658847,127.082242
서울특별시 노원구 상계1동,37.683238,127.065296
서울특별시 노원구 상계2동,37.656488,127.067265
서울특별시 노원구 상계5동,37.663221,127.069599
서울특별시 노원구 상계8동,37.66629,127.053651
서울특별시 노원구 상계9동,37.66807,127.062496
서울특별시 노원구 상계10동,37.659644,127.058398
서울특별시 노원구 상계3·4동,37.675146,127.083267
서울특별시 노원구 상계6·7동,37.64875,127.060092
서울특별시 노원구 중계2·3동,37.643344,127.065888
서울특별시 노원구 공릉1동,37.624119,127.07277
서울특별시 은평구 녹번동,37.605415,126.93505
서울특별시 은평구 불광1동,37.617313,126.939271
서울특별시 은평구 갈현1동,37.625353,126.914887
서울특별시 은평구 갈현2동,37.618284,126.912123
서울특별시 은평구 구산동,37.611064,126.907647
서울특별시 은평구 대조동,37.61228,126.923095
서울특별시 은평구 응암1동,37.598255,126.9269
서울특별시 은평구 응암2동,37.591885,126.923024
서울특별시 은평구 신사1동,37.598994,126.908843
서울특별시 은평구 신사2동,37.592891,126.906286
서울특별시 은평구 증산동,37.583781,126.905811
서울특별시 은평구 수색동,37.585771,126.894901
서울특별시 은평구 진관동,37.639279,126.940518
서울특별시 은평구 불광2동,37.624373,126.92865
서울특별시 은평구 응암3동,37.588654,126.917745
서울특별시 은평구 역촌동,37.604569,126.914529
서울특별시 서대문구 천연동,37.571214,126.957141
서울특별시 서대문구 홍제1동,37.581541,126.945201
서울특별시 서대문구 홍제3동,37.592023,126.95116
서울특별시 서대문구 홍제2동,37.584547,126.952526
서울특별시 서대문구 홍은1동,37.59998,126.947027
서울특별시 서대문구 홍은2동,37.586992,126.932174
서울특별시 서대문구 남가좌1동,37.571694,126.916201
서울특별시 서대문구 남가좌2동,37.577624,126.92133
서울특별시 서대문구 북가좌1동,37.575268,126.908003
서울특별시 서대문구 북가좌2동,37.581004,126.913501
서울특별시 서대문구 충현동,37.563909,126.958098
서울특별시 서대문구 북아현동,37.559248,126.955517
서울특별시 서대문구 신촌동,37.563636,126.941063
서울특별시 서대문구 연희동,37.572006,126.932735
서울특별시 마포구 용강동,37.541495,126.942227
서울특별시 마포구 대흥동,37.552122,126.9414
서울특별시 마포구 염리동,37.549825,126.947547
서울특별시 마포구 신수동,37.545498,126.93479
서울특별시 마포구 서교동,37.554772,126.920945
서울특별시 마포구 합정동,37.546908,126.909336
서울특별시 마포구 망원1동,37.553472,126.900327
서울특별시 마포구 망원2동,37.559196,126.900487
서울특별시 마포구 연남동,37.56303,126.921545
서울특별시 마포구 성산1동,37.561982,126.911845
서울특별시 마포구 성산2동,37.568106,126.902043
서울특별시 마포구 상암동,37.570676,126.880208
서울특별시 마포구 도화동,37.538626,126.949025
서울특별시 마포구 서강동,37.546809,126.925995
서울특별시 마포구 공덕동,37.549132,126.957874
서울특별시 마포구 아현동,37.551926,126.952841
서울특별시 양천구 목1동,37.527444,126.875099
서울특별시 양천구 목2동,37.543594,126.874098
서울특별시 양천구 목3동,37.5452,126.865412
서울특별시 양천구 목4동,37.535437,126.866896
서울특별시 양천구 신월1동,37.531249,126.834533
서울특별시 양천구 신월2동,37.523397,126.84633
서울특별시 양천구 신월3동,37.532326,126.827477
서울특별시 양천구 신월4동,37.522249,126.839821
서울특별시 양천구 신월5동,37.540866,126.829422
서울특별시 양천구 신월6동,37.515974,126.84213
서울특별시 양천구 신월7동,37.518993,126.830614
서울특별시 양천구 신정1동,37.518877,126.859634
서울특별시 양천구 신정2동,37.518953,126.875177
서울특별시 양천구 신정3동,37.511471,126.841015
서울특별시 양천구 신정6동,37.515911,126.869644
서울특별시 양천구 신정7동,37.510116,126.864683
서울특별시 양천구 목5동,37.536061,126.879903
서울특별시 양천구 신정4동,37.525409,126.857571
서울특별시 강서구 염창동,37.554379,126.871764
서울특별시 강서구 등촌1동,37.555856,126.859633
서울특별시 강서구 등촌2동,37.545736,126.860025
서울특별시 강서구 등촌3동,37.561055,126.846339
서울특별시 강서구 화곡본동,37.542574,126.848162
서울특별시 강서구 화곡2동,37.532278,126.854368
서울특별시 강서구 화곡3동,37.544037,126.834284
서울특별시 강서구 화곡4동,37.536098,126.858576
서울특별시 강서구 화곡6동,37.551722,126.851166
서울특별시 강서구 화곡8동,37.534221,126.848633
