name,lat,lng,dongId
서울특별시 종로구 사직동,37.574108,126.970144,11110530.0
서울특별시 종로구 삼청동,37.588013,126.981114,11110540.0
서울특별시 종로구 부암동,37.596699,126.962557,11110550.0
서울특별시 종로구 평창동,37.613965,126.969274,11110560.0
서울특별시 종로구 무악동,37.577741,126.958989,11110570.0
서울특별시 종로구 교남동,37.571053,126.964161,11110580.0
서울특별시 종로구 가회동,37.582676,126.986618,11110600.0
서울특별시 종로구 종로1·2·3·4가동,37.575077,126.989733,11110615.0
서울특별시 종로구 종로5·6가동,37.573016,127.004241,11110630.0
서울특별시 종로구 이화동,37.57969,127.003069,11110640.0
서울특별시 종로구 창신1동,37.572263,127.014019,11110670.0
서울특별시 종로구 창신2동,37.575755,127.010252,11110680.0
서울특별시 종로구 창신3동,37.578819,127.013209,11110690.0
서울특별시 종로구 숭인1동,37.577225,127.016861,11110700.0
서울특별시 종로구 숭인2동,37.574307,127.020638,11110710.0
서울특별시 종로구 청운효자동,37.584658,126.970417,11110515.0
서울특별시 종로구 혜화동,37.587471,126.997689,11110650.0
서울특별시 중구 소공동,37.564297,126.974359,11140520.0
서울특별시 중구 회현동,37.556968,126.976709,11140540.0
서울특별시 중구 명동,37.563728,126.984355,11140550.0
서울특별시 중구 필동,37.556803,126.993848,11140570.0
서울특별시 중구 장충동,37.55561,127.00228,11140580.0
서울특별시 중구 광희동,37.565204,127.003625,11140590.0
서울특별시 중구 을지로동,37.56664,126.996491,11140605.0
서울특별시 중구 신당5동,37.563581,127.022016,11140650.0
서울특별시 중구 황학동,37.568419,127.020798,11140670.0
서울특별시 중구 중림동,37.557318,126.965961,11140680.0
서울특별시 중구 신당동,37.565748,127.013775,11140615.0
서울특별시 중구 다산동,37.554703,127.008263,11140625.0
서울특별시 중구 약수동,37.549837,127.01024,11140635.0
서울특별시 중구 청구동,37.556855,127.01499,11140645.0
서울특별시 중구 동화동,37.560594,127.018671,11140665.0
서울특별시 용산구 후암동,37.549959,126.980596,11170510.0
서울특별시 용산구 용산2가동,37.537898,126.985069,11170520.0
서울특별시 용산구 남영동,37.543801,126.974836,11170530.0
서울특별시 용산구 원효로2동,37.533694,126.952437,11170570.0
서울특별시 용산구 효창동,37.542833,126.960912,11170580.0
서울특별시 용산구 용문동,37.538147,126.958584,11170590.0
서울특별시 용산구 이촌1동,37.515442,126.971695,11170630.0
서울특별시 용산구 이촌2동,37.522704,126.954317,11170640.0
서울특별시 용산구 이태원1동,37.533395,126.993249,11170650.0
서울특별시 용산구 이태원2동,37.54166,126.992134,11170660.0
서울특별시 용산구 서빙고동,37.51938,126.988919,11170690.0
서울특별시 용산구 보광동,37.525871,127.001263,11170700.0
서울특별시 용산구 청파동,37.547477,126.966879,11170555.0
서울특별시 용산구 원효로1동,37.53747,126.96656,11170560.0
서울특별시 용산구 한강로동,37.529141,126.968605,11170625.0
서울특별시 용산구 한남동,37.537102,127.005801,11170685.0
서울특별시 성동구 왕십리2동,37.561498,127.02769,11200520.0
서울특별시 성동구 마장동,37.567637,127.04049,11200540.0
서울특별시 성동구 사근동,37.558015,127.045435,11200550.0
서울특별시 성동구 행당1동,37.55902,127.036057,11200560.0
서울특별시 성동구 행당2동,37.556676,127.029503,11200570.0
서울특별시 성동구 응봉동,37.550989,127.033982,11200580.0
서울특별시 성동구 금호1가동,37.553669,127.025056,11200590.0
서울특별시 성동구 금호4가동,37.545523,127.024354,11200620.0
서울특별시 성동구 성수1가1동,37.540873,127.042096,11200650.0
서울특별시 성동구 성수1가2동,37.549074,127.043952,11200660.0
서울특별시 성동구 성수2가1동,37.536655,127.055281,11200670.0
서울특별시 성동구 성수2가3동,37.545542,127.058143,11200690.0
서울특별시 성동구 송정동,37.552333,127.065698,11200720.0
서울특별시 성동구 용답동,37.55854,127.057849,11200790.0
서울특별시 성동구 왕십리도선동,37.566791,127.029569,11200535.0
서울특별시 성동구 금호2·3가동,37.551428,127.019892,11200615.0
서울특별시 성동구 옥수동,37.540819,127.020858,11200645.0
서울특별시 광진구 화양동,37.543265,127.07346,11215710.0
서울특별시 광진구 군자동,37.553066,127.073681,11215730.0
서울특별시 광진구 중곡1동,37.562037,127.077722,11215740.0
서울특별시 광진구 중곡2동,37.558909,127.084587,11215750.0
서울특별시 광진구 중곡3동,37.567851,127.08197,11215760.0
서울특별시 광진구 중곡4동,37.563912,127.094448,11215770.0
서울특별시 광진구 능동,37.550657,127.081645,11215780.0
서울특별시 광진구 구의1동,37.54149,127.086032,11215850.0
서울특별시 광진구 구의2동,37.551002,127.09445,11215860.0
서울특별시 광진구 구의3동,37.535092,127.095236,11215870.0
서울특별시 광진구 광장동,37.548283,127.104873,11215810.0
서울특별시 광진구 자양1동,37.535543,127.080415,11215820.0
서울특별시 광진구 자양2동,37.529335,127.083254,11215830.0
서울특별시 광진구 자양3동,37.53169,127.071198,11215840.0
서울특별시 광진구 자양4동,37.533892,127.063766,11215847.0
