"동별(1)",동별(2),동별(3),2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",강남구,개포4동,10090,23313,11208,12105,23123,11133,11990,190,75,115,2.29,3842
"합계",강남구,일원본동,7955,22619,11146,11473,22592,11133,11459,27,13,14,2.84,3757
"합계",강남구,일원1동,7418,14444,6949,7495,14285,6886,7399,159,63,96,1.93,3672
"합계",강남구,수서동,7620,13694,6159,7535,13619,6127,7492,75,32,43,1.79,5260
"합계",강남구,세곡동,20322,46455,21683,24772,46260,21604,24656,195,79,116,2.28,7788
"합계",강남구,압구정동,9994,25746,11966,13780,25556,11860,13696,190,106,84,2.56,5521
"합계",강남구,청담동,10548,24253,11317,12936,24000,11175,12825,253,142,111,2.28,4060
"합계",송파구,소계,287017,656310,314532,341778,650110,311728,338382,6200,2804,3396,2.27,114243
"합계",송파구,풍납1동,5384,11742,5776,5966,11277,5543,5734,465,233,232,2.09,2964
"합계",송파구,풍납2동,10299,23263,11030,12233,23050,10939,12111,213,91,122,2.24,4436
"합계",송파구,거여1동,5571,11919,5908,6011,11821,5869,5952,98,39,59,2.12,2710
"합계",송파구,거여2동,10077,23417,11346,12071,23319,11305,12014,98,41,57,2.31,4869
"합계",송파구,마천1동,7761,16313,8324,7989,16162,8268,7894,151,56,95,2.08,4287
"합계",송파구,마천2동,8486,17423,8875,8548,17260,8808,8452,163,67,96,2.03,4690
"합계",송파구,방이1동,6153,15105,7219,7886,14999,7179,7820,106,40,66,2.44,2642
"합계",송파구,방이2동,15936,26808,12152,14656,26121,11829,14292,687,323,364,1.64,4024
"합계",송파구,오륜동,5843,17608,8647,8961,17575,8629,8946,33,18,15,3.01,3398
"합계",송파구,오금동,16037,38219,18465,19754,37913,18313,19600,306,152,154,2.36,7739
"합계",송파구,송파1동,12506,23392,10777,12615,23101,10642,12459,291,135,156,1.85,3915
"합계",송파구,송파2동,7216,18695,8975,9720,18564,8913,9651,131,62,69,2.57,3352
"합계",송파구,석촌동,17101,30954,14566,16388,30392,14332,16060,562,234,328,1.78,5199
"합계",송파구,삼전동,16166,29090,13606,15484,28703,13440,15263,387,166,221,1.78,4591
"합계",송파구,가락본동,11574,25081,12339,12742,24777,12206,12571,304,133,171,2.14,4529
"합계",송파구,가락1동,9756,27652,13385,14267,27348,13235,14113,304,150,154,2.8,4163
"합계",송파구,가락2동,12369,30961,15073,15888,30763,14984,15779,198,89,109,2.49,5055
"합계",송파구,문정1동,8938,19882,9714,10168,19691,9621,10070,191,93,98,2.2,3601
"합계",송파구,문정2동,15874,28915,13243,15672,28737,13170,15567,178,73,105,1.81,4578
"합계",송파구,장지동,13055,30774,14777,15997,30596,14702,15894,178,75,103,2.34,5414
"합계",송파구,잠실본동,16219,28055,13258,14797,27524,13030,14494,531,228,303,1.7,4321
"합계",송파구,잠실2동,11527,34916,16729,18187,34823,16673,18150,93,56,37,3.02,4106
"합계",송파구,잠실3동,11859,33896,15987,17909,33769,15917,17852,127,70,57,2.85,6569
"합계",송파구,잠실4동,7198,21086,10187,10899,21028,10159,10869,58,28,30,2.92,3240
"합계",송파구,잠실6동,5836,16563,7844,8719,16376,7739,8637,187,105,82,2.81,3287
"합계",송파구,잠실7동,3365,9388,4354,5034,9373,4345,5028,15,9,6,2.79,2377
"합계",송파구,위례동,14911,45193,21976,23217,45048,21938,23110,145,38,107,3.02,4187
"합계",강동구,소계,212585,481474,234830,246644,476942,232862,244080,4532,1968,2564,2.24,89895
