주소2,주소3,안전,여가,식당,의료,마트,편의 시설,대중교통,행정동코드
송파구,잠실6동,68,25,26,28,28,26,24,11240770
송파구,잠실7동,55,22,22,42,27,25,25,11240780
송파구,잠실본동,58,50,49,46,50,30,27,11240710
송파구,장지동,56,26,26,33,31,23,37,11240810
송파구,풍납1동,57,22,27,40,30,23,26,11240510
송파구,풍납2동,56,24,24,31,30,24,28,11240520
양천구,목1동,69,33,33,34,35,29,29,11150510
양천구,목2동,74,27,29,30,35,24,28,11150520
양천구,목3동,75,34,38,45,45,33,27,11150530
양천구,목4동,75,35,40,39,44,28,31,11150540
양천구,목5동,69,24,25,27,29,24,27,11150710
양천구,신월1동,75,29,38,36,38,28,26,11150570
양천구,신월2동,74,27,28,33,34,24,26,11150580
양천구,신월3동,72,24,26,28,31,24,26,11150590
양천구,신월4동,72,27,34,36,39,26,29,11150600
양천구,신월5동,72,27,31,31,43,26,30,11150610
양천구,신월6동,72,29,32,37,37,25,34,11150620
양천구,신월7동,71,27,27,29,28,23,28,11150630
양천구,신정1동,71,29,34,36,36,30,41,11150640
양천구,신정2동,72,35,36,39,40,25,33,11150650
양천구,신정3동,70,24,23,25,27,22,32,11150660
양천구,신정4동,75,32,40,35,42,31,29,11150720
양천구,신정6동,69,26,23,26,31,28,30,11150690
양천구,신정7동,70,26,25,27,26,24,32,11150700
영등포구,당산1동,53,40,46,40,49,33,36,11190550
영등포구,당산2동,51,32,31,33,38,26,36,11190560
영등포구,대림1동,59,25,37,46,50,26,36,11190700
영등포구,대림2동,61,24,43,46,54,28,31,11190710
영등포구,대림3동,54,28,34,35,43,29,39,11190720
영등포구,도림동,54,26,27,33,36,24,33,11190750
영등포구,문래동,53,33,35,31,37,29,35,11190760
영등포구,신길1동,57,27,33,39,45,28,36,11190630
영등포구,신길3동,58,29,32,49,45,30,44,11190650
영등포구,신길4동,56,20,30,44,41,28,36,11190660
영등포구,신길5동,59,23,27,39,38,30,44,11190670
영등포구,신길6동,54,28,35,44,44,28,40,11190680
영등포구,신길7동,52,27,27,37,37,29,48,11190690
영등포구,양평1동,53,29,34,33,42,29,34,11190610
영등포구,양평2동,49,25,26,24,29,22,27,11190620
영등포구,여의동,47,28,29,24,29,32,27,11190540
영등포구,영등포동,55,36,44,39,55,42,40,11190740
영등포구,영등포본동,54,24,30,33,34,27,30,11190730
용산구,남영동,42,34,39,28,35,33,37,1130530
용산구,보광동,45,25,34,28,34,28,31,1130700
용산구,서빙고동,41,22,22,20,23,22,27,1130690
용산구,용문동,46,22,39,33,38,29,55,1130590
용산구,용산2가동,42,21,27,21,28,22,32,1130520
용산구,원효로1동,44,27,40,27,41,29,40,1130720
용산구,원효로2동,43,23,26,23,30,25,37,1130570
용산구,이촌1동,41,23,22,22,23,22,24,1130630
용산구,이촌2동,41,21,22,21,26,23,26,1130640
용산구,이태원1동,45,24,50,25,45,39,37,1130650
용산구,이태원2동,44,24,32,23,31,25,35,1130660
용산구,청파동,46,29,38,26,37,27,34,1130710
용산구,한강로동,42,28,34,24,32,30,31,1130730
용산구,한남동,43,34,32,22,28,26,32,1130740
용산구,효창동,46,28,26,28,33,24,38,1130580
용산구,후암동,45,23,31,25,33,27,30,1130510
은평구,갈현1동,56,28,36,33,35,25,40,11120550
은평구,갈현2동,56,28,36,32,42,24,36,11120560
은평구,구산동,55,24,27,28,32,23,33,11120570
은평구,녹번동,56,25,28,27,30,24,28,11120510
은평구,대조동,56,33,44,41,44,30,36,11120580
은평구,불광1동,54,24,25,25,25,22,27,11120520
은평구,불광2동,56,24,26,27,29,25,30,11120720
은평구,수색동,54,21,22,26,25,25,29,11120680
은평구,신사1동,55,26,31,33,38,24,35,11120650
은평구,신사2동,56,23,25,29,31,24,38,11120660
은평구,역촌동,56,31,40,33,42,26,42,11120740
은평구,응암1동,55,31,32,35,34,26,29,11120590
은평구,응암2동,55,25,28,32,33,24,43,11120600
은평구,응암3동,58,35,44,42,47,30,40,11120730
은평구,증산동,56,31,28,35,35,24,27,11120670
은평구,진관동,54,22,23,21,23,22,25,11120710
종로구,가회동,22,44,40,27,28,28,50,1110600
종로구,교남동,22,28,31,35,33,33,54,1110580
종로구,무악동,21,27,24,29,28,24,25,1110570
종로구,부암동,21,26,25,21,24,22,34,1110550
종로구,사직동,22,47,50,32,39,48,40,1110530
종로구,삼청동,55,45,40,24,27,32,40,1110540
종로구,숭인1동,25,25,30,39,38,31,50,1110700
종로구,숭인2동,23,38,43,35,50,38,31,1110710
종로구,이화동,22,64,42,27,37,38,38,1110640
종로구,종로1·2·3·4가동,22,57,70,34,53,57,53,1110610
종로구,종로5·6가동,23,37,52,46,46,46,42,1110630
